uid,civilite,prenom,nom,date_naissance,ville_naissance,profession_declaree,insee_cat_socpro,insee_fam_socpro,groupe_politique,departement,circonscription
PA720668,M.,Emmanuel,Blairy,1986-03-14,Lens,Fonctionnaire territorial,"Professions de l’enseignement primaire et professionnel, de la formation continue et du sport",Professions intermédiaires,Rassemblement National,Pas-de-Calais,1
PA720720,Mme,Josy,Poueyto,1954-01-13,Paris,Retraitée de la fonction publique (hors enseignement),Sans profession déclarée,Sans profession déclarée,Les Démocrates,Pyrénées-Atlantiques,1
PA720728,M.,Jean-Paul,Mattei,1954-03-21,Saarburg,Notaire,Professions libérales,Cadres et professions intellectuelles supérieures,Les Démocrates,Pyrénées-Atlantiques,2
PA720822,M.,Bruno,Bilde,1976-09-22,Laxou,Juriste,Professions libérales,Cadres et professions intellectuelles supérieures,Rassemblement National,Pas-de-Calais,12
PA720838,Mme,Soumya,Bourouaha,1964-03-16,Gazahouet,Professeure,"Professions de l’enseignement primaire et professionnel, de la formation continue et du sport",Professions intermédiaires,Gauche Démocrate et Républicaine,Seine-Saint-Denis,4
PA720846,M.,Bastien,Lachaud,1980-08-05,Vitry sur Seine,Professeur du secondaire et technique,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,La France insoumise - Nouveau Front Populaire,Seine-Saint-Denis,6
PA720892,Mme,Mathilde,Panot,1989-01-15,Tours,Coordinatrice de projets associatifs,Cadres des services administratifs et commerciaux d’entreprise,Cadres et professions intellectuelles supérieures,La France insoumise - Nouveau Front Populaire,Val-de-Marne,10
PA720952,M.,Aurélien,Taché,1984-05-26,Niort,Fonctionnaire de catégorie A,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,La France insoumise - Nouveau Front Populaire,Val-d'Oise,10
PA720960,M.,Olivier,Serva,1974-06-21,Pointe-à-Pitre,Expert comptable,Professions libérales,Cadres et professions intellectuelles supérieures,"Libertés, Indépendants, Outre-mer et Territoires",Guadeloupe,1
PA720976,M.,Max,Mathiasin,1956-02-24,Deshaies,Fonction publique territoriale,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,"Libertés, Indépendants, Outre-mer et Territoires",Guadeloupe,3
PA720992,M.,Jiovanny,William,1985-06-03,Fort-de-France,Profession libérale,Professions libérales,Cadres et professions intellectuelles supérieures,Socialistes et apparentés,Martinique,1
PA721004,Mme,Amélia,Lakrafi,1978-03-20,Casablanca,Chef d'entreprise,Commerçants et assimilés,"Artisans, commerçants, chefs d'entreprises",Ensemble pour la République,Français établis hors de France,10
PA721024,Mme,Anne,Genetet,1963-04-20,Neuilly sur seine,Médecin généraliste,Professions libérales,Cadres et professions intellectuelles supérieures,Ensemble pour la République,Français établis hors de France,11
PA721062,M.,Jean-Hugues,Ratenon,1967-06-25,Saint-Benoit,Employé (secteur privé),Employés de commerce,Employés,La France insoumise - Nouveau Front Populaire,Réunion,5
PA721110,Mme,Nicole,Sanquer,1972-06-16,Papeete,Professeur du secondaire et technique,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,"Libertés, Indépendants, Outre-mer et Territoires",Polynésie Française,2
PA721158,M.,Pieyre-Alexandre,Anglade,1986-11-02,Paris,Agent contractuel au Parlement européen,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,Ensemble pour la République,Français établis hors de France,4
PA721182,M.,Frédéric,Petit,1961-02-10,Marseille,Ingénieur,Cadres des services administratifs et commerciaux d’entreprise,Cadres et professions intellectuelles supérieures,Les Démocrates,Français établis hors de France,7
PA721202,M.,Éric,Coquerel,1958-12-30,Courbevoie,Industriel-Chef d'entreprise,Professions libérales,Cadres et professions intellectuelles supérieures,La France insoumise - Nouveau Front Populaire,Seine-Saint-Denis,1
PA721210,M.,Alexis,Corbière,1968-08-17,Béziers,Professeur de lycée professionnel,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,Écologiste et Social,Seine-Saint-Denis,7
PA721234,Mme,Maud,Petit,1971-11-15,Paris,Chargée de ressources humaines,Cadres des services administratifs et commerciaux d’entreprise,Cadres et professions intellectuelles supérieures,Les Démocrates,Val-de-Marne,4
PA721270,M.,Stéphane,Peu,1962-07-24,Pau,Employé,Employés administratifs d'entreprise,Employés,Gauche Démocrate et Républicaine,Seine-Saint-Denis,2
PA721296,M.,Guillaume,Gouffier Valente,1986-02-01,Beauvais,Manager public,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,Ensemble pour la République,Val-de-Marne,6
PA721314,M.,Raphaël,Schellenberger,1990-02-14,Mulhouse,(33) - Cadre de la fonction publique,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,Non inscrit,Haut-Rhin,4
PA721336,Mme,Blandine,Brocard,1981-11-03,Strasbourg,Employée (secteur privé),Employés administratifs d'entreprise,Employés,Les Démocrates,Rhône,5
PA721410,Mme,Émilie,Bonnivard,1980-08-02,Chambéry,Cadre à la Caisse des Dépôts et Consignations,Cadres des services administratifs et commerciaux d’entreprise,Cadres et professions intellectuelles supérieures,Droite Républicaine,Savoie,3
PA721426,Mme,Véronique,Riotton,1969-11-02,Bonneville,Consultante-Coach en Ressources Humaines,Chefs d'entreprise de plus de 10 personnes,"Artisans, commerçants, chefs d'entreprises",Ensemble pour la République,Haute-Savoie,1
PA721458,M.,Xavier,Roseren,1970-01-12,Chamonix Mont-Blanc,Commerçant,Commerçants et assimilés,"Artisans, commerçants, chefs d'entreprises",Horizons & Indépendants,Haute-Savoie,6
PA721474,M.,Stéphane,Viry,1969-10-14,Epinal,Avocat,Professions libérales,Cadres et professions intellectuelles supérieures,"Libertés, Indépendants, Outre-mer et Territoires",Vosges,1
PA721486,M.,Christophe,Naegelen,1983-12-30,Remiremont,Industriel-Chef d'entreprise,Chefs d'entreprise de plus de 10 personnes,"Artisans, commerçants, chefs d'entreprises","Libertés, Indépendants, Outre-mer et Territoires",Vosges,3
PA721584,M.,Jean,Terlier,1977-03-02,Toulon,Avocat,Professions libérales,Cadres et professions intellectuelles supérieures,Ensemble pour la République,Tarn,3
PA721612,Mme,Carole,Guillerm,1987-01-08,Brest,Conseillère ministérielle,Cadres des services administratifs et commerciaux d’entreprise,Cadres et professions intellectuelles supérieures,Les Démocrates,Hauts-de-Seine,12
PA721632,Mme,Patricia,Lemoine,1961-12-30,Enghien-les-Bains,retraitée,"Cadres de la fonction publique, professions intellectuelles et  artistiques",Cadres et professions intellectuelles supérieures,Ensemble pour la République,Seine-et-Marne,5
PA721750,Mme,Céline,Calvez,1979-07-24,Rennes,Consultante communication,Commerçants et assimilés,"Artisans, commerçants, chefs d'entreprises",Ensemble pour la République,Hauts-de-Seine,5
PA721764,Mme,Olivia,Grégoire,1978-09-30,Paris,Chef d'entreprise,Professions libérales,Cadres et professions intellectuelles supérieures,Ensemble pour la République,Paris,12
PA721816,M.,Ian,Boucard,1988-05-05,Belfort,Autre cadre (secteur privé),Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,Droite Républicaine,Territoire de Belfort,1
PA721844,Mme,Béatrice,Piron,1965-08-30,Martigues,Chef d'entreprise,Chefs d'entreprise de plus de 10 personnes,"Artisans, commerçants, chefs d'entreprises",Horizons & Indépendants,Yvelines,3
PA721852,Mme,Marie,Lebec,1990-12-17,Vernon,Consultante en affaires publiques,Cadres des services administratifs et commerciaux d’entreprise,Cadres et professions intellectuelles supérieures,Ensemble pour la République,Yvelines,4
PA721896,Mme,Elsa,Faucillon,1981-08-06,Amiens,Employée du secteur privé,Employés administratifs d'entreprise,Employés,Gauche Démocrate et Républicaine,Hauts-de-Seine,1
PA721908,Mme,Yaël,Braun-Pivet,1970-12-07,Nancy,Avocate,Professions libérales,Cadres et professions intellectuelles supérieures,Ensemble pour la République,Yvelines,5
PA721916,Mme,Natalia,Pouzyreff,1961-02-18,Limoges,Ingénieure,Sans profession déclarée,Sans profession déclarée,Ensemble pour la République,Yvelines,6
PA721932,Mme,Marie-France,Lorho,1964-12-15,Colmar,Déléguée médicale,Professions intermédiaires administratives et commerciales des entreprises,Professions intermédiaires,Rassemblement National,Vaucluse,4
PA721960,Mme,Danièle,Obono,1980-07-12,Libreville,Bibliothécaire,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,La France insoumise - Nouveau Front Populaire,Paris,17
PA721984,M.,Philippe,Latombe,1975-04-21,Paris,Cadre supérieur (secteur privé),Cadres des services administratifs et commerciaux d’entreprise,Cadres et professions intellectuelles supérieures,Les Démocrates,Vendée,1
PA722000,M.,Stéphane,Buchou,1974-03-14,Strasbourg,Cadre supérieur (secteur privé),Cadres des services administratifs et commerciaux d’entreprise,Cadres et professions intellectuelles supérieures,Ensemble pour la République,Vendée,3
PA722070,M.,Pierre,Henriet,1991-11-26,Fontenay-le-Comte,Professeur du secondaire et technique,"Professions de l’enseignement primaire et professionnel, de la formation continue et du sport",Professions intermédiaires,Horizons & Indépendants,Vendée,5
PA722102,Mme,Annie,Vidal,1956-09-17,La Bohalle,Retraitée de la fonction publique hospitalière,Sans profession déclarée,Sans profession déclarée,Ensemble pour la République,Seine-Maritime,2
PA722134,M.,Jean-Marie,Fiévet,1964-06-19,Bressuire,Fonctionnaire de catégorie B,"Professions de l’enseignement primaire et professionnel, de la formation continue et du sport",Professions intermédiaires,Ensemble pour la République,Deux-Sèvres,3
PA722142,M.,François,Ruffin,1975-10-18,Calais,Reporter,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,Écologiste et Social,Somme,1
PA722150,M.,Sacha,Houlié,1988-10-08,Bressuire,Avocat,Professions libérales,Cadres et professions intellectuelles supérieures,Socialistes et apparentés,Vienne,2
PA722162,M.,Nicolas,Turquois,1972-07-26,Tours,Agriculteur-propriétaire exploitant,Agriculteurs exploitants,Agriculteurs exploitants,Les Démocrates,Vienne,4
PA722190,M.,Gabriel,Attal,1989-03-16,Clamart,Consultant,Cadres des services administratifs et commerciaux d’entreprise,Cadres et professions intellectuelles supérieures,Ensemble pour la République,Hauts-de-Seine,10
PA722252,Mme,Marie-Pierre,Rixain,1977-01-18,Saint-Cyr-l'Ecole,Consultante en communication,Professions libérales,Cadres et professions intellectuelles supérieures,Ensemble pour la République,Essonne,4
PA722284,M.,Bruno,Fuchs,1959-04-07,Colmar,Chef d'entreprise,Chefs d'entreprise de plus de 10 personnes,"Artisans, commerçants, chefs d'entreprises",Les Démocrates,Haut-Rhin,6
PA722336,M.,Vincent,Thiébaut,1972-05-23,Toulouse,Autre cadre (secteur privé),Cadres des services administratifs et commerciaux d’entreprise,Cadres et professions intellectuelles supérieures,Horizons & Indépendants,Bas-Rhin,9
PA722358,M.,Thomas,Gassilloud,1981-05-21,Saint-Symphorien-sur-Coise,Industriel - Chef d'entreprise,Chefs d'entreprise de plus de 10 personnes,"Artisans, commerçants, chefs d'entreprises",Ensemble pour la République,Rhône,10
PA722366,M.,Jean-Luc,Fugit,1969-11-27,Rodez,Professeur de faculté,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,Ensemble pour la République,Rhône,11
PA722374,M.,Cyrille,Isaac-Sibille,1958-04-30,Lyon,Médecin,Professions libérales,Cadres et professions intellectuelles supérieures,Les Démocrates,Rhône,12
PA722382,M.,Benjamin,Dirx,1979-01-25,Villefranche-sur-Saone,Industriel-Chef d'entreprise,Commerçants et assimilés,"Artisans, commerçants, chefs d'entreprises",Ensemble pour la République,Saône-et-Loire,1
PA722390,Mme,Josiane,Corneloup,1959-09-30,Le Creusot,Pharmacien,Professions libérales,Cadres et professions intellectuelles supérieures,Droite Républicaine,Saône-et-Loire,2
PA736201,Mme,Sophie,Taillé-Polian,1974-10-04,Ermont,Cadre de la fonction publique,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,Écologiste et Social,Val-de-Marne,11
PA757225,M.,Mikaele,Seo,1971-12-27,Uvea,Profession intermédiaire administrative de la fonction publique,"Professions de l’enseignement primaire et professionnel, de la formation continue et du sport",Professions intermédiaires,Ensemble pour la République,Wallis-et-Futuna,1
PA759832,Mme,Agnès,Pannier-Runacher,1974-06-19,Paris,Dirigeante d'entreprise,Chefs d'entreprise de plus de 10 personnes,"Artisans, commerçants, chefs d'entreprises",Ensemble pour la République,Pas-de-Calais,2
PA774954,Mme,Anne-Laure,Blin,1983-06-12,Toul,Juriste,Cadres des services administratifs et commerciaux d’entreprise,Cadres et professions intellectuelles supérieures,Droite Républicaine,Maine-et-Loire,3
PA774958,M.,Gérard,Leseul,1960-08-15,Le Mesnil Esnard,Cadre d'entreprise / enseignant universitaire,Cadres des services administratifs et commerciaux d’entreprise,Cadres et professions intellectuelles supérieures,Socialistes et apparentés,Seine-Maritime,5
PA774960,Mme,Isabelle,Santiago,1965-09-20,Neuilly-sur-Seine,Cadre territorial,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,Socialistes et apparentés,Val-de-Marne,9
PA774962,Mme,Karine,Lebon,1985-06-09,Le Port,Professeure des écoles,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,Gauche Démocrate et Républicaine,Réunion,2
PA791812,Mme,Sophia,Chikirou,1979-06-03,Bonneville,Chef d'entreprise de 10 salariés ou plus,Chefs d'entreprise de plus de 10 personnes,"Artisans, commerçants, chefs d'entreprises",La France insoumise - Nouveau Front Populaire,Paris,6
PA791824,Mme,Sarah,Legrain,1985-11-17,Paris,Professeure de français,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,La France insoumise - Nouveau Front Populaire,Paris,16
PA793094,M.,Nicolas,Ray,1981-05-14,Vichy,Inspecteur principal des Finances publiques,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,Droite Républicaine,Allier,3
PA793102,M.,Christian,Girard,1952-05-07,Manosque,Ancien cadre,Cadres des services administratifs et commerciaux d’entreprise,Cadres et professions intellectuelles supérieures,Rassemblement National,Alpes-de-Haute-Provence,1
PA793122,M.,Romain,Daubié,1980-05-05,Villeurbanne,Avocat,Professions libérales,Cadres et professions intellectuelles supérieures,Les Démocrates,Ain,2
PA793134,M.,Jérôme,Buisson,1973-01-15,Roanne,Professeur d'italien,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,Rassemblement National,Ain,4
PA793146,M.,Nicolas,Dragon,1977-04-19,Laon,Profession libérale,Professions libérales,Cadres et professions intellectuelles supérieures,Rassemblement National,Aisne,1
PA793158,M.,José,Beaurain,1971-07-27,Chauny,Artisan,Artisans,"Artisans, commerçants, chefs d'entreprises",Rassemblement National,Aisne,4
PA793166,M.,Jocelyn,Dessigny,1981-06-29,Noisy-le-Grand,Cadre administratif et commercial d'entreprise,Cadres des services administratifs et commerciaux d’entreprise,Cadres et professions intellectuelles supérieures,Rassemblement National,Aisne,5
PA793174,M.,Yannick,Monnet,1975-10-07,Moulins,Cadre de la fonction publique,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,Gauche Démocrate et Républicaine,Allier,1
PA793182,M.,Jorys,Bovet,1993-03-30,Saint Martin d'Hères,Chauffeur-livreur,Ouvriers peu qualifiés de type industriel,Ouvriers,Rassemblement National,Allier,2
PA793194,M.,Lionel,Vuibert,1968-08-31,Villers-Semeuse,Directeur général,Cadres des services administratifs et commerciaux d’entreprise,Cadres et professions intellectuelles supérieures,Non inscrit,Ardennes,1
PA793214,Mme,Audrey,Abadie-Amiel,1974-11-16,Toulouse,Enseignante,Professeurs et professions scientifiques supérieures,Cadres et professions intellectuelles supérieures,"Libertés, Indépendants, Outre-mer et Territoires",Ariège,2
PA793218,M.,Jordan,Guitton,1995-01-30,Troyes,Assistant Parlementaire,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,Rassemblement National,Aube,1
PA793230,Mme,Angélique,Ranc,1988-03-16,Troyes,Sans activité professionnelle,Sans profession déclarée,Sans profession déclarée,Rassemblement National,Aube,3
PA793246,M.,Frédéric,Falcon,1985-11-23,Besançon,Commerçant et assimilé,Commerçants et assimilés,"Artisans, commerçants, chefs d'entreprises",Rassemblement National,Aude,2
PA793254,M.,Julien,Rancoule,1993-07-31,Carcassonne,Profession libérale,Professions libérales,Cadres et professions intellectuelles supérieures,Rassemblement National,Aude,3
PA793262,M.,Laurent,Alexandre,1973-06-09,Decazeville,Ouvrier qualifié de type industriel,Ouvriers qualifiés de type industriel,Ouvriers,La France insoumise - Nouveau Front Populaire,Aveyron,2
PA793270,M.,Jean-François,Rousset,1952-09-09,Aurillac,Chirurgien,Professions libérales,Cadres et professions intellectuelles supérieures,Ensemble pour la République,Aveyron,3
PA793290,Mme,Gisèle,Lelouis,1952-03-10,Paris,Ancien employé,Sans profession déclarée,Sans profession déclarée,Rassemblement National,Bouches-du-Rhône,3
PA793298,M.,Lionel,Tivoli,1988-02-29,Marseille,Chef d'entreprise de 10 salariés ou plus,Chefs d'entreprise de plus de 10 personnes,"Artisans, commerçants, chefs d'entreprises",Rassemblement National,Alpes-Maritimes,2
PA793322,Mme,Christelle,D'Intorni,1985-05-02,Nice,Avocate,Professions libérales,Cadres et professions intellectuelles supérieures,Union des droites pour la République,Alpes-Maritimes,5
PA793334,M.,Cyril,Tribuiani,1981-07-25,Gap,Agent d'assurances,Agents de maîtrise (hors maîtrise administrative),Professions intermédiaires,Rassemblement National,Alpes-Maritimes,6
PA793342,Mme,Alexandra,Martin (Alpes-Maritimes),1968-10-25,Nice,Employé civil et agent de service de la fonction publique,"Employés administratifs de la fonction publique, agents de service et auxiliaires de santé",Employés,Droite Républicaine,Alpes-Maritimes,8
PA793354,Mme,Joëlle,Mélin,1950-03-26,Versailles,Médecin expert judiciaire,Professions libérales,Cadres et professions intellectuelles supérieures,Rassemblement National,Bouches-du-Rhône,9
PA793362,M.,José,Gonzalez,1943-04-28,Oran,Ancien employé,Sans profession déclarée,Sans profession déclarée,Rassemblement National,Bouches-du-Rhône,10
PA793374,M.,Romain,Baubry,1989-01-28,Mont-saint-Aignan,Policier et militaire,"Employés administratifs de la fonction publique, agents de service et auxiliaires de santé",Employés,Rassemblement National,Bouches-du-Rhône,15
PA793382,M.,Emmanuel,Taché,1975-02-20,Montreuil,Cadre de la fonction publique,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,Rassemblement National,Bouches-du-Rhône,16
PA793394,M.,Arthur,Delaporte,1991-10-07,Caen,"Professeur, profession scientifique",Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,Socialistes et apparentés,Calvados,2
PA793398,M.,Jérémie,Patrier-Leitus,1989-03-07,Paris,Cadre de la fonction publique,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,Horizons & Indépendants,Calvados,3
PA793432,M.,Franck,Allisio,1980-08-04,Marseille,Profession libérale,Professions libérales,Cadres et professions intellectuelles supérieures,Rassemblement National,Bouches-du-Rhône,12
PA793444,M.,Manuel,Bompard,1986-03-30,Firminy,Ingénieur,Cadres des services administratifs et commerciaux d’entreprise,Cadres et professions intellectuelles supérieures,La France insoumise - Nouveau Front Populaire,Bouches-du-Rhône,4
PA793452,M.,Hendrik,Davi,1977-12-21,Athis-Mons,"Professeur, profession scientifique",Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,Écologiste et Social,Bouches-du-Rhône,5
PA793464,M.,Sébastien,Delogu,1987-06-08,Marseille,Sans profession,Sans profession déclarée,Sans profession déclarée,La France insoumise - Nouveau Front Populaire,Bouches-du-Rhône,7
PA793508,M.,Hubert,Brigand,1952-07-28,Chatillon-sur-Seine,Ancienne profession intermédiaire,Sans profession déclarée,Sans profession déclarée,Droite Républicaine,Côte-d'Or,4
PA793520,M.,Mickaël,Cosson,1975-11-29,Saint-Brieuc,Chargé d'opérations urbanisme,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,Les Démocrates,Côtes-d'Armor,1
PA793532,Mme,Murielle,Lepvraud,1974-07-15,Loudeac,Employé administratif d'entreprise,Employés administratifs d'entreprise,Employés,La France insoumise - Nouveau Front Populaire,Côtes-d'Armor,4
PA793548,Mme,Caroline,Colombier,1957-08-22,Autun,Ancienne avocate / Ancien cadre,Cadres des services administratifs et commerciaux d’entreprise,Cadres et professions intellectuelles supérieures,Rassemblement National,Charente,3
PA793556,Mme,Sabine,Gervais,1970-05-20,Fontenay-Le-Comte,Infirmière puéricultrice,Professions intermédiaires de la santé et du travail social,Professions intermédiaires,Les Démocrates,Charente-Maritime,1
PA793572,M.,Christophe,Plassard,1967-11-19,La Garenne-Colombes,Profession libérale,Professions libérales,Cadres et professions intellectuelles supérieures,Horizons & Indépendants,Charente-Maritime,5
PA793592,Mme,Géraldine,Grangier,1975-02-13,Besançon,Profession intermédiaire administrative de la fonction publique,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,Rassemblement National,Doubs,4
PA793608,Mme,Katiana,Levavasseur,1970-12-09,Rouen,Ouvrier de type industriel,Ouvriers qualifiés de type industriel,Ouvriers,Rassemblement National,Eure,2
PA793616,M.,Kévin,Mauvieux,1991-09-09,Pont-Audemer,Conseiller en assurance,Employés de commerce,Employés,Rassemblement National,Eure,3
PA793624,M.,Philippe,Brun,1991-10-16,Rouen,Magistrat administratif,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,Socialistes et apparentés,Eure,4
PA793632,M.,Timothée,Houssin,1988-07-29,Lille,Cadre,Cadres des services administratifs et commerciaux d’entreprise,Cadres et professions intellectuelles supérieures,Rassemblement National,Eure,5
PA793656,Mme,Lisette,Pollet,1968-01-04,Romorantin-Lanthenay,Ouvrier qualifié de type industriel,Ouvriers qualifiés de type industriel,Ouvriers,Rassemblement National,Drôme,2
PA793664,Mme,Marie,Pochon,1990-05-04,Grenoble,Responsable associative,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,Écologiste et Social,Drôme,3
PA793672,Mme,Christine,Loir,1977-02-22,Pont-Audemer,Profession intermédiaire de la santé et du travail social,Personnels des services directs aux particuliers,Employés,Rassemblement National,Eure,1
PA793696,M.,Serge,Muller,1976-02-26,Toulon,Profession intermédiaire de la santé et du travail social,"Employés administratifs de la fonction publique, agents de service et auxiliaires de santé",Employés,Rassemblement National,Dordogne,2
PA793708,M.,Sébastien,Peytavie,1982-04-17,Sarlat,Profession intermédiaire de la santé et du travail social,"Professions de l’enseignement primaire et professionnel, de la formation continue et du sport",Professions intermédiaires,Écologiste et Social,Dordogne,4
PA793716,M.,Laurent,Croizier,1975-01-29,Besançon,"Professeur des écoles, instituteur et assimilé",Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,Les Démocrates,Doubs,1
PA793736,M.,Hadrien,Clouet,1991-07-13,Aix-en-Provence,Sociologue,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,La France insoumise - Nouveau Front Populaire,Haute-Garonne,1
PA793744,Mme,Anne,Stambach-Terrenoir,1980-06-23,Amiens,Professeure de piano,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,La France insoumise - Nouveau Front Populaire,Haute-Garonne,2
PA793756,M.,François,Piquemal,1984-12-28,Besançon,Enseignant,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,La France insoumise - Nouveau Front Populaire,Haute-Garonne,4
PA793772,M.,Christophe,Bex,1961-11-14,Neufchâteau,Retraité,Sans profession déclarée,Sans profession déclarée,La France insoumise - Nouveau Front Populaire,Haute-Garonne,7
PA793780,Mme,Christine,Arrighi,1959-09-19,Lannemezan,Ancien cadre,Cadres des services administratifs et commerciaux d’entreprise,Cadres et professions intellectuelles supérieures,Écologiste et Social,Haute-Garonne,9
PA793796,M.,David,Taupiac,1975-05-13,Montauban,Consultant aéronautique,Professions libérales,Cadres et professions intellectuelles supérieures,"Libertés, Indépendants, Outre-mer et Territoires",Gers,2
PA793816,Mme,Mélanie,Thomin,1984-06-04,Landerneau,"Professeur, profession scientifique",Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,Socialistes et apparentés,Finistère,6
PA793832,M.,Yoann,Gillet,1986-08-29,Rennes,Cadre de la fonction publique,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,Rassemblement National,Gard,1
PA793852,M.,Pierre,Meurin,1989-11-30,Paris,Cadre administratif et commercial d'entreprise,Cadres des services administratifs et commerciaux d’entreprise,Cadres et professions intellectuelles supérieures,Rassemblement National,Gard,4
PA793872,Mme,Nathalie,Oziol,1990-02-18,Toulouse,"Professeur, profession scientifique",Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,La France insoumise - Nouveau Front Populaire,Hérault,2
PA793892,Mme,Stéphanie,Galzy,1981-10-20,Pézenas,Employé administratif d'entreprise,Cadres des services administratifs et commerciaux d’entreprise,Cadres et professions intellectuelles supérieures,Rassemblement National,Hérault,5
PA793912,M.,Sylvain,Carrière,1991-05-21,Béziers,Employé de commerce,Employés de commerce,Employés,La France insoumise - Nouveau Front Populaire,Hérault,8
PA793928,Mme,Edwige,Diaz,1987-10-15,Marseille,Cadre administratif et commercial d'entreprise,Cadres des services administratifs et commerciaux d’entreprise,Cadres et professions intellectuelles supérieures,Rassemblement National,Gironde,11
PA793944,Mme,Alexandra,Martin (Gironde),1976-07-28,Bordeaux,Sans profession déclarée,Cadres d'entreprise,Cadres et professions intellectuelles supérieures,Ensemble pour la République,Gironde,1
PA793948,M.,Nicolas,Thierry,1975-12-08,Creon,Consultant en développement durable,Professions libérales,Cadres et professions intellectuelles supérieures,Écologiste et Social,Gironde,2
PA793980,M.,Charles,Fournier,1968-03-10,Romorantin-Lanthenay,"Consultant, formateur",Cadres des services administratifs et commerciaux d’entreprise,Cadres et professions intellectuelles supérieures,Écologiste et Social,Indre-et-Loire,1
PA793992,M.,Henri,Alfandari,1979-10-02,Chambray-lès-Tours,"Ancien artisan, commerçant, chef d'entreprise",Sans profession déclarée,Sans profession déclarée,Horizons & Indépendants,Indre-et-Loire,3
PA794008,Mme,Cyrielle,Chatelain,1987-07-15,Montbéliard,Collaboratrice de cabinet,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,Écologiste et Social,Isère,2
PA794022,M.,Jérémie,Iordanoff,1983-02-02,Laxou,Artiste-peintre,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,Écologiste et Social,Isère,5
PA794030,M.,Alexis,Jolly,1990-12-22,Besançon,Commerçant et assimilé,Commerçants et assimilés,"Artisans, commerçants, chefs d'entreprises",Rassemblement National,Isère,6
PA794038,M.,Yannick,Neuder,1969-03-15,Tullins,Cardiologue,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,Droite Républicaine,Isère,7
PA794058,Mme,Justine,Gruet,1989-10-23,Besançon,Masseur Kinésithérapeute,Professions libérales,Cadres et professions intellectuelles supérieures,Droite Républicaine,Jura,3
PA794082,Mme,Mathilde,Hignet,1993-06-10,Rennes,Ouvrière agricole,"Ouvriers agricoles, des travaux forestiers, de la pêche et de l’aquaculture",Ouvriers,La France insoumise - Nouveau Front Populaire,Ille-et-Vilaine,4
PA794094,M.,Mickaël,Bouloux,1972-08-16,Dinan,Ingénieur et cadre technique d'entreprise,Cadres des services administratifs et commerciaux d’entreprise,Cadres et professions intellectuelles supérieures,Socialistes et apparentés,Ille-et-Vilaine,8
PA794106,Mme,Andrée,Taurinya,1963-06-03,Toulouse,"Professeur, profession scientifique",Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,La France insoumise - Nouveau Front Populaire,Loire,2
