uid,civilite,prenom,nom,date_naissance,ville_naissance,groupe_politique,departement,circonscription,profession_declaree,insee_cat_socpro,insee_fam_socpro,wikidata_url,frwiki_url,plus_haut_diplome,domaines_etudes,a_travaille_prive,a_travaille_public,carriere_politique_seule,profil_carriere,confiance,notes
PA721336,Mme,Blandine,Brocard,1981-11-03,Strasbourg,Les Démocrates,Rhône,5,Employée (secteur privé),Employés administratifs d'entreprise,Employés,http://www.wikidata.org/entity/Q30337966,https://fr.wikipedia.org/wiki/Blandine_Brocard,bac+5,droit,1,0,0,prive_uniquement,moyenne,"Wikidata précise licence à Lyon-II et master à Lyon-III ; le domaine (droit) est déduit de sa profession de juriste, cohérente avec les facultés de ces deux universités, mais non nommé explicitement comme « droit » dans les sources. La carrière de juriste pendant sept ans à l'Association des maires ruraux de France (association loi 1901) est mentionnée par Wikipédia ; classée en secteur associatif, comptée comme secteur privé au sens large (convention retenue pour les autres déclarations de ce projet), d'où career_profile prive_uniquement malgré la nature associative de l'employeur."
PA794330,M.,Anthony,Brosse,1980-11-04,Saint-Calais,Ensemble pour la République,Loiret,5,Profession intermédiaire de la santé et du travail social,"Professions de l’enseignement primaire et professionnel, de la formation continue et du sport",Professions intermédiaires,http://www.wikidata.org/entity/Q112650781,https://fr.wikipedia.org/wiki/Anthony_Brosse,bac+2,sciences,0,1,0,public_uniquement,basse,"Wikipédia (repris par France Bleu/ici.fr, vérifié par curl) mentionne des « études en environnement à Tours » sans nommer d'établissement ni de diplôme ; le niveau bac+2 est une estimation compatible avec un poste de technicien obtenu directement après ces études, non un diplôme confirmé. Poste de technicien assainissement à la communauté de communes du Pithiverais (collectivité territoriale, secteur public) confirmé par deux sources de presse. Le second emploi (directeur-adjoint d'un établissement médico-social pour personnes âgées handicapées) n'est nommé nulle part et son statut (public/privé/associatif) reste inconnu. Le stage HATVP (UNIFAF, 2018-2019) est une formation non rémunérée, non comptée comme emploi. Les nombreux mandats de « dirigeant » figurant dans sa déclaration HATVP (EPF Loiret, SITOMAP, SMORE, CNAS, etc.) correspondent à des sièges d'administrateur liés à ses fonctions d'élu local, non à une activité professionnelle."
PA794710,M.,Julien,Brugerolles,1982-07-05,Beaumont,Gauche Démocrate et Républicaine,Puy-de-Dôme,5,Collaborateur parlementaire,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,http://www.wikidata.org/entity/Q131956247,https://fr.wikipedia.org/wiki/Julien_Brugerolles,bac+5,sciences politiques,0,1,0,politique_principalement,haute,"A été enseignant dans le public avant treize ans comme collaborateur parlementaire, activité dominante avant son mandat."
PA719890,Mme,Danielle,Brulebois,1947-07-04,Longwy-sur-le-Doubs,Ensemble pour la République,Jura,1,Retraitée de l'enseignement,Sans profession déclarée,Sans profession déclarée,http://www.wikidata.org/entity/Q30342796,https://fr.wikipedia.org/wiki/Danielle_Brulebois,bac+2,education,0,1,0,public_uniquement,moyenne,"Le niveau exact de la formation à l'École normale (équivalence bac+2) est une estimation, non précisée dans la source."
PA718838,M.,Fabrice,Brun,1968-04-02,Avignon,Droite Républicaine,Ardèche,3,Industriel-Chef d'entreprise,Commerçants et assimilés,"Artisans, commerçants et chefs d'entreprise",http://www.wikidata.org/entity/Q30339239,https://fr.wikipedia.org/wiki/Fabrice_Brun,bac+2,agriculture | informatique,0,1,0,public_uniquement,moyenne,"La profession déclarée (« Industriel-Chef d'entreprise ») n'est pas détaillée par la biographie, qui ne documente que des emplois publics, associatifs et politiques."
PA793624,M.,Philippe,Brun,1991-10-16,Rouen,Socialistes et apparentés,Eure,4,Magistrat administratif,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,http://www.wikidata.org/entity/Q112649913,https://fr.wikipedia.org/wiki/Philippe_Brun,bac+5,sciences politiques | gestion-commerce,1,1,0,mixte_public_prive,haute,
PA840817,M.,Joël,Bruneau,1963-09-07,Levroux,"Libertés, Indépendants, Outre-mer et Territoires",Calvados,1,(31) - Profession libérale,Professions libérales,Cadres et professions intellectuelles supérieures,http://www.wikidata.org/entity/Q16646407,https://fr.wikipedia.org/wiki/Jo%C3%ABl_Bruneau,bac+5,droit | sciences politiques,1,1,0,mixte_public_prive,haute,
PA722000,M.,Stéphane,Buchou,1974-03-14,Strasbourg,Ensemble pour la République,Vendée,3,Cadre supérieur (secteur privé),Cadres des services administratifs et commerciaux d’entreprise,Cadres et professions intellectuelles supérieures,http://www.wikidata.org/entity/Q30342812,https://fr.wikipedia.org/wiki/St%C3%A9phane_Buchou,bac+5,economie-gestion,1,0,0,prive_uniquement,moyenne,"L'infobox Wikipédia confirme les deux établissements (Université de Nantes, École de management de Normandie) et le texte détaille la carrière : immobilier puis banque, manager de centre-ville chez Oryon (SEM, classée secteur privé par convention car de statut de droit privé) de 2006 à 2009, puis directeur-adjoint de Cocktail Vision/SAS Cocktail Développement de 2009 à juin 2017, confirmé pour la dernière période par sa déclaration HATVP. L'intitulé précis du mastère spécialisé EM Normandie (« management du développement territorial »), noté lors d'une recherche antérieure sur legislatives.en-marche.fr, n'a pas pu être re-vérifié : le site renvoie une erreur HTTP 520 (domaine de campagne 2017 hors service). Niveau bac+5 retenu car cohérent avec les deux établissements d'enseignement supérieur nommés indépendamment."
PA794798,Mme,Françoise,Buffet,1953-12-11,Strasbourg,Ensemble pour la République,Bas-Rhin,4,"Ancien artisan, commerçant, chef d'entreprise",Sans profession déclarée,Sans profession déclarée,http://www.wikidata.org/entity/Q63766741,https://fr.wikipedia.org/wiki/Fran%C3%A7oise_Buffet,inconnu,,1,0,0,prive_uniquement,haute,"Son propre site (francoisebuffet.fr, consulté directement) et un article ICI (ex-France Bleu) confirment de façon concordante qu'elle a créé et développé un restaurant à Strasbourg dans les années 1990, élu meilleur bistrot d'Alsace puis de France par Gault & Millau, revendu en 2001 par choix personnel - cohérent avec sa profession déclarée ""ancien artisan, commerçant, chef d'entreprise"". Le nom exact de l'établissement n'a pas pu être confirmé avec certitude. Aucune information sur ses études ou diplômes trouvée : reste inconnu. - Aucune amélioration. HATVP relue : aucune ""activité"" professionnelle enregistrée (seulement des mandats et sièges dans des structures intercommunales - SAMINS, CEEAC, ACMISA, association des maires, caisse des écoles - qui relèvent de son mandat d'élue, pas d'un emploi), donc rien de nouveau sur le restaurant ni sur ses études. Le site personnel francoisebuffet.fr/biographie, déjà consulté au passage précédent, renvoie maintenant un 404 (vérifié par curl -I) - lien mort, non ré-exploitable. Wikitexte brut (77 lignes) entièrement lu : rien sur sa formation, seulement sa carrière de commerçante puis élue municipale. Carrière inchangée, portée telle quelle."
PA793134,M.,Jérôme,Buisson,1973-01-15,Roanne,Rassemblement National,Ain,4,Professeur d'italien,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,http://www.wikidata.org/entity/Q112637681,https://fr.wikipedia.org/wiki/J%C3%A9r%C3%B4me_Buisson,bac+3_4,lettres-sciences humaines | education,1,0,0,prive_uniquement,moyenne,Enseignement dans le privé sous contrat puis en indépendant; plusieurs informations sourcées 'réf. souhaitée'.
PA796106,M.,Édouard,Bénard,1995-02-18,Rouen,Gauche Démocrate et Républicaine,Seine-Maritime,3,Collaborateur d'élu,"Employés administratifs de la fonction publique, agents de service et auxiliaires de santé",Employés,http://www.wikidata.org/entity/Q124021781,https://fr.wikipedia.org/wiki/%C3%89douard_B%C3%A9nard,inconnu,lettres-langues,1,1,0,mixte_public_prive,haute,"Source L'Écho du Sud consultée directement : orienté à 15 ans vers un CAP en apprentissage boucherie, puis reprise d'un cursus général au lycée, puis études de philosophie à La Sorbonne (aucune confirmation d'obtention d'un diplôme, ni CAP ni licence) tout en travaillant en boulangerie ; devient ensuite agent de la fonction publique territoriale. Le mélange privé (boulangerie)/public (collectivité territoriale) est confirmé mais sans employeur nommé précis, d'où confiance moyenne et non haute. Diplôme final non confirmé : reste inconnu. - Carrière nettement précisée grâce à HATVP (nouvel index local) : le passage précédent ne savait que ""agent de la fonction publique territoriale @ collectivité non précisée (probablement Saint-Étienne-du-Rouvray ou intercommunalité)"" ; la déclaration HATVP nomme désormais quatre postes datés et deux employeurs publics précis - collaborateur de cabinet puis chargé de mission à la Ville de Saint-Étienne-du-Rouvray (01-12/2019), puis directeur de cabinet à la Mairie de Tourville-la-Rivière (01/2020-09/2022) - plus un passage comme collaborateur parlementaire d'Hubert Wulfranc (09-11/2023, secteur politique) non identifié précédemment. Le mélange privé (boulangerie étudiante)/public (deux mairies) est donc confirmé avec des employeurs nommés : confiance relevée de ""moyenne"" à ""haute"" sur la carrière. Diplôme en revanche toujours inconnu : le wikitexte brut confirme via l'infobox ""université = Université Paris-Sorbonne"" (études de philosophie), cohérent avec le passage précédent, mais aucune source ne confirme l'obtention d'un diplôme (le jeune homme quitte apparemment ses études pour devenir agent public) - niveau maintenu ""inconnu"" par prudence."
PA841023,M.,Pierre-Yves,Cadalen,1992-07-09,Brest,La France insoumise - Nouveau Front Populaire,Finistère,2,"(34) - Professeur, profession scientifique",Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,http://www.wikidata.org/entity/Q126595850,https://fr.wikipedia.org/wiki/Pierre-Yves_Cadalen,doctorat,sciences politiques | lettres-sciences humaines,0,1,0,public_uniquement,haute,
PA795762,M.,Elie,Califer,1954-04-19,Saint-Claude,Socialistes et apparentés,Guadeloupe,4,Ancien cadre,Sans profession déclarée,Sans profession déclarée,http://www.wikidata.org/entity/Q63766059,https://fr.wikipedia.org/wiki/%C3%89lie_Califer,bac+3_4,enseignement,0,1,0,public_uniquement,moyenne,"Déclaration HATVP consultée directement : enseignant à l'IME Les Gommiers jusqu'en août 2017, retraité depuis septembre 2017 (cohérent avec profession déclarée ""ancien cadre""). Une base biographique (Who's Who, snippet de recherche non vérifié sur la fiche complète) le qualifie de ""professeur des écoles"". Le niveau de diplôme est une inférence de profession réglementée (enseignant du premier degré nécessitant a minima une licence) plutôt qu'une confirmation directe ; sa carrière d'enseignant étant vraisemblablement antérieure à 2010 (déjà maire en 2003), le niveau retenu est bac+3_4 et non bac+5, avec confiance moyenne conformément à la règle sur les inférences de profession réglementée."
PA721750,Mme,Céline,Calvez,1979-07-24,Rennes,Ensemble pour la République,Hauts-de-Seine,5,Consultante communication,Commerçants et assimilés,"Artisans, commerçants et chefs d'entreprise",http://www.wikidata.org/entity/Q30342940,https://fr.wikipedia.org/wiki/C%C3%A9line_Calvez,bac+5,sciences politiques | communication-journalisme,1,1,0,mixte_public_prive,haute,
PA608264,Mme,Colette,Capdevielle,1958-10-14,Orthez,Socialistes et apparentés,Pyrénées-Atlantiques,5,Avocate,Professions libérales,Cadres et professions intellectuelles supérieures,http://www.wikidata.org/entity/Q2982476,https://fr.wikipedia.org/wiki/Colette_Capdevielle,bac+5,droit,1,0,0,prive_uniquement,moyenne,Le parcours universitaire est présenté de façon anecdotique (abandon de Sciences Po Bordeaux); l'obtention du CAPA est déduite de sa profession d'avocate.
PA841973,M.,Pierre-Henri,Carbonnel,1990-03-23,Montauban,Union des droites pour la République,Tarn-et-Garonne,1,Agriculteur,Agriculteurs exploitants,Agriculteurs exploitants,http://www.wikidata.org/entity/Q127385663,https://fr.wikipedia.org/wiki/Pierre-Henri_Carbonnel,inconnu,agriculture,1,0,0,prive_uniquement,haute,"Déclaration HATVP consultée directement : carrière entièrement d'agriculteur/chef d'exploitation indépendant à Saint-Cirq (GAEC de polyculture-élevage depuis 2020, société de production solaire SASU PAG depuis 2023, administrateur de la coopérative Natera depuis 2024), confirmant prive_uniquement (liberal_independant) avec confiance haute. Aucune information sur ses études ou diplômes trouvée malgré vérification HATVP, site du parti UDR et Wikipédia : reste inconnu. - Aucune amélioration sur le diplôme. HATVP relue : confirme intégralement l'exploitation agricole (GAEC de polyculture-élevage depuis 2020), la SASU de production solaire (depuis 2023) et ajoute une précision - administrateur de la CUMA d'accueil de Saint-Cirq en plus de la coopérative Natera déjà connue. Wikitexte brut (118 lignes) entièrement lu : les seules références biographiques concernent son passé de rugbyman (itsrugby.fr, uniquement sportif) et sa candidature politique de 2025 ; aucune mention de lycée agricole, BTSA ou autre formation. Recherche Wikipédia (""Pierre-Henri Carbonnel"" BTS/lycée/diplôme) : aucun résultat pertinent au-delà de sa fiche personnelle. Statut d'agriculteur/chef d'exploitation n'impose légalement aucun diplôme."
PA796090,M.,Aymeric,Caron,1971-12-04,Boulogne Sur Mer,La France insoumise - Nouveau Front Populaire,Paris,18,"Profession de l'information, des arts et des spectacles",Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,http://www.wikidata.org/entity/Q2874956,https://fr.wikipedia.org/wiki/Aymeric_Caron,bac+5,lettres-sciences humaines | communication-journalisme,1,1,0,mixte_public_prive,haute,
PA793912,M.,Sylvain,Carrière,1991-05-21,Béziers,La France insoumise - Nouveau Front Populaire,Hérault,8,Employé de commerce,Employés de commerce,Employés,http://www.wikidata.org/entity/Q112650404,https://fr.wikipedia.org/wiki/Sylvain_Carri%C3%A8re,bac+2,agriculture | gestion-commerce,1,0,0,prive_uniquement,haute,
PA841801,Mme,Danièle,Carteron,1984-10-31,Annecy,Ensemble pour la République,Haute-Savoie,2,Cheffe d'entreprise,Cadres d'entreprise,Cadres et professions intellectuelles supérieures,http://www.wikidata.org/entity/Q127413477,https://fr.wikipedia.org/wiki/Dani%C3%A8le_Carteron,bac+5,droit,1,0,0,prive_uniquement,haute,"France 3 Auvergne-Rhône-Alpes (article du 28/04/2026) précise: ""Diplômée en droit public, droit de l'urbanisme et construction à l'Université Savoie Mont-Blanc de Chambéry, elle a créé une petite entreprise d'assistance à maîtrise d'ouvrage"", et qu'elle a été ""formatrice en droit de la construction, droit de la copropriété et droit de l'urbanisme à la CCI Haute-Savoie"". Mandats locaux (première adjointe au maire, conseillère communautaire) exercés en parallèle de son activité professionnelle, non comptés comme carrière séparée. Fiche HATVP consultée mais déclaration non encore publiée à ce jour."
PA719138,M.,Michel,Castellani,1945-09-28,Bastia,"Libertés, Indépendants, Outre-mer et Territoires",Haute-Corse,1,Professeur des Universités,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,http://www.wikidata.org/entity/Q30342903,https://fr.wikipedia.org/wiki/Michel_Castellani_(homme_politique),doctorat,economie,0,1,0,public_uniquement,haute,
PA840075,M.,Eddy,Casterman,1996-07-28,Lille,Rassemblement National,Aisne,3,(37) - Cadre administratif et commercial d'entreprise,Sans profession déclarée,Sans profession déclarée,http://www.wikidata.org/entity/Q126949238,https://fr.wikipedia.org/wiki/Eddy_Casterman,inconnu,,0,0,1,politique_principalement,haute,"La déclaration d'intérêts HATVP (consultée en PDF) ne recense aucune activité professionnelle en dehors de postes de collaborateur parlementaire et de collaborateur de cabinet, plus un mandat local d'adjoint au maire. La profession déclarée officiellement à l'Assemblée (""cadre administratif et commercial d'entreprise"") ne correspond à aucun emploi identifié dans ces sources. Aucun diplôme trouvé malgré recherche (HATVP, fiche AN, Datan, LinkedIn non accessible en détail). - Aucune amélioration sur le diplôme. HATVP relue : confirme exactement les trois lignes déjà connues (collaborateur parlementaire de Vincent Segouin puis collaborateur de cabinet AFEMM, plus les associations ""Racines d'avenir""), toujours aucune activité professionnelle en dehors de la sphère politique/associative. Wikitexte brut (133 lignes) entièrement lu : le champ ""université"" de l'infobox est explicitement laissé vide par les contributeurs Wikipédia eux-mêmes (signe qu'ils ne savent pas non plus), et aucune section formation n'existe dans le corps de l'article. Recherche Wikipédia (""Eddy Casterman"" diplôme/études/master) : aucun résultat pertinent en dehors de sa fiche et des pages électorales. La fiche AN reste inexploitable (rendu JavaScript, aucun contenu biographique dans le HTML statique)."
PA795868,M.,Jean-Victor,Castor,1962-04-21,Sinnamary,Gauche Démocrate et Républicaine,Guyane,1,Cadre technique d'entreprise,Cadres des services administratifs et commerciaux d’entreprise,Cadres et professions intellectuelles supérieures,http://www.wikidata.org/entity/Q112628313,https://fr.wikipedia.org/wiki/Jean-Victor_Castor,bac+2,ingenierie,1,0,0,prive_uniquement,haute,
PA842187,Mme,Gabrielle,Cathala,1992-05-14,Talence,La France insoumise - Nouveau Front Populaire,Val-d'Oise,6,Secrétaire générale de groupe parlementaire,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,http://www.wikidata.org/entity/Q127256470,https://fr.wikipedia.org/wiki/Gabrielle_Cathala,bac+5,droit,0,1,0,public_uniquement,haute,"Carrière mêlant diplomatie, ONG humanitaire et emploi politique parlementaire avant son élection."
PA842311,M.,Vincent,Caure,1992-12-31,Castres,Ensemble pour la République,Français établis hors de France,3,(33) - Cadre de la fonction publique,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,http://www.wikidata.org/entity/Q127256447,https://fr.wikipedia.org/wiki/Vincent_Caure,bac+5,sciences politiques,0,0,1,politique_principalement,haute,
PA719922,M.,Lionel,Causse,1971-05-06,Toulouse,Ensemble pour la République,Landes,2,Autre cadre (secteur privé),Cadres des services administratifs et commerciaux d’entreprise,Cadres et professions intellectuelles supérieures,http://www.wikidata.org/entity/Q30342869,https://fr.wikipedia.org/wiki/Lionel_Causse,inconnu,,0,0,0,inconnu,basse,"Wikipedia et L'Écho du Sud mentionnent seulement qu'il ""a occupé des fonctions de cadre dans le secteur de l'économie sociale et solidaire au début de sa carrière"", sans nommer l'employeur. Sa déclaration HATVP (fenêtre des 5 ans précédant 2022) indique ""Néant"" pour les activités professionnelles rémunérées - il était déjà maire/conseiller général à plein temps depuis 2008-2014, donc cette déclaration ne couvre pas son emploi ESS antérieur. Présidence du CPIE Seignanx et Adour confirmée mais non rémunérée. Sources consultées: Wikipedia, France3, L'Écho du Sud, nosdeputes.fr, HATVP - aucune ne nomme l'employeur ni le niveau d'études. - Deuxième passage : déclaration HATVP consultée directement — confirme le poste de dirigeant bénévole au CPIE Seignanx Adour depuis 01/2016 (précise la date de début, absente du premier passage), ainsi qu'un mandat de représentant au Conseil national de l'habitat (12/2022-06/2024), lié à son activité de député rapporteur sur la tarification sociale de l'eau — non retenu comme activité professionnelle distincte. Wikitext brut de Wikipédia consulté (infobox : profession = « Cadre d'entreprise », université vide) : aucune information nouvelle sur le nom de l'employeur ESS ni sur un diplôme. Recherche Wikipédia (API full-text, « Lionel Causse diplômé », « économie sociale solidaire ») : aucun résultat pertinent nouveau. Le secteur ESS étant à cheval entre privé et associatif selon les structures, et aucun employeur nommé, le profil de carrière reste « inconnu » par prudence, comme le diplôme."
PA719472,M.,Jean-René,Cazeneuve,1958-06-09,Paris,Ensemble pour la République,Gers,1,Ingénieur,Cadres des services administratifs et commerciaux d’entreprise,Cadres et professions intellectuelles supérieures,http://www.wikidata.org/entity/Q30417849,https://fr.wikipedia.org/wiki/Jean-Ren%C3%A9_Cazeneuve,bac+5,ingenierie | gestion-commerce,1,0,0,prive_uniquement,haute,
PA795864,M.,Pierre,Cazeneuve,1995-03-11,Saint Cloud,Ensemble pour la République,Hauts-de-Seine,7,Cadre de la fonction publique,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,http://www.wikidata.org/entity/Q87116010,https://fr.wikipedia.org/wiki/Pierre_Cazeneuve,bac+5,sciences politiques | gestion-commerce,0,0,1,politique_principalement,moyenne,"Emploi au cabinet de la présidence de la République mentionné via Wikidata, non détaillé dans le texte de la biographie."
PA841047,M.,François-Xavier,Ceccoli,1968-10-27,Cervione,Droite Républicaine,Haute-Corse,2,(23) - Chef d'entreprise de 10 salariés ou plus,Chefs d'entreprise de plus de 10 personnes,"Artisans, commerçants et chefs d'entreprise",http://www.wikidata.org/entity/Q62616089,https://fr.wikipedia.org/wiki/Fran%C3%A7ois-Xavier_Ceccoli,inconnu,,1,0,0,prive_uniquement,haute,"Chef d'entreprise dans la filière agroalimentaire corse (négoce de clémentines), confirmé avec dates et rémunérations précises par sa déclaration HATVP, et par la presse locale (Corse Net Infos, Visit Corsica) qui décrit Fruticor comme une station de conditionnement de 8000 m² employant jusqu'à 60 personnes en pic de saison. Aucune information sur ses études trouvée malgré recherches (HATVP, Facebook, presse corse, annuaires de maires). - Deuxième passage : déclaration HATVP reconsultée directement — les dates concordent exactement avec ce qui était déjà connu (DIRECTION @ Fruticor depuis 01/2022 ; agriculteur à titre secondaire @ Ceccoli FX depuis 01/2018 ; dirigeant Fruticor 01/2018-10/2021 ; dirigeant GIE Corsica Comptoir depuis 01/2018). Wikitext brut vérifié (infobox : profession = « Chef d'entreprise », université vide) : rien de nouveau. Recherche Wikipédia (API full-text, « diplômé », « études ») infructueuse — aucun résultat pertinent (résultats renvoyés concernent d'autres personnalités homonymes ou sans lien). Diplôme reste inconnu malgré ce second passage ; carrière confirmée avec un niveau de confiance élevé."
PA842037,M.,Bérenger,Cernon,1988-05-02,Joigny,La France insoumise - Nouveau Front Populaire,Essonne,8,"(65) - Ouvrier qualifié de la manutention, du magasinage et du transport",Ouvriers qualifiés de type industriel,Ouvriers,http://www.wikidata.org/entity/Q127255949,https://fr.wikipedia.org/wiki/B%C3%A9renger_Cernon,inconnu,,0,1,0,public_uniquement,haute,"Employé de la SNCF (établissement public) comme conducteur depuis 2008, confirmé par Wikipedia et l'article de La Vie Ouvrière (NVO, 2024) qui précise ""il rejoint la SNCF en 2008 comme conducteur sur les lignes D et R"". Engagement syndical CGT (délégué du personnel, secrétaire de CHSCT) exercé dans le cadre de cet emploi, non compté comme carrière séparée. Un profil LinkedIn indique une scolarité à l'Université de Bourgogne, mais sans précision de filière ni de diplôme obtenu - non retenu comme preuve d'un diplôme malgré recherches complémentaires. - Deuxième passage : déclaration HATVP consultée directement — indique « Conducteur de train » @ Sncf depuis 01/2018 seulement, et non 2008. Cela pourrait signaler une promotion interne (agent SNCF dès 2008, poste de conducteur obtenu après formation en 2018) plutôt qu'une contradiction, mais l'article de La Vie Ouvrière (NVO, 2024, déjà cité au premier passage) affirme explicitement qu'« il rejoint la SNCF en 2008 comme conducteur » — cette source de première main est conservée comme référence de la date d'entrée, la nuance HATVP étant signalée par prudence. Wikitext brut vérifié (infobox : profession = « Cheminot », université vide). Nouvelle recherche Wikipédia (« Bérenger Cernon Bourgogne », « formation ») : aucun résultat pertinent — la mention d'un profil LinkedIn évoquant l'Université de Bourgogne (déjà signalée au premier passage, sans diplôme précisé) reste non confirmée. Diplôme reste inconnu."
PA718820,Mme,Pauline,Cestrières,1977-03-24,Rodez,Ensemble pour la République,Aveyron,1,Agricultrice,Agriculteurs exploitants,Agriculteurs exploitants,http://www.wikidata.org/entity/Q98235200,https://fr.wikipedia.org/wiki/Pauline_Cestri%C3%A8res,bac+5,agriculture,1,0,0,prive_uniquement,haute,"Page confirmée directement par curl+grep sur purpanalumni.com (site de l'association des anciens élèves de Purpan) : titre « Pauline Cestrières (79è), appelée à siéger à l'Assemblée nationale », le « 79è » désignant sa promotion de sortie de l'école d'ingénieurs agricoles. Aucune déclaration HATVP disponible pour cette députée (entrée absente du dump)."
PA840701,M.,Bernard,Chaix,1965-01-06,Nice,Union des droites pour la République,Alpes-Maritimes,3,(22) - Commerçant et assimilé,Commerçants et assimilés,"Artisans, commerçants et chefs d'entreprise",http://www.wikidata.org/entity/Q127274166,https://fr.wikipedia.org/wiki/Bernard_Chaix,inconnu,,1,0,0,prive_uniquement,haute,"Commerçant, gérant de l'entreprise familiale de vente de tapis et moquettes Chaix Décoration à Nice (fondée en 1936, reprise sur trois générations), confirmé par sa déclaration HATVP (dates et employeur nommés) et par la presse (Nice Presse, RCF Nice Côte d'Azur, WebSearch synthétisant Kompass/Société.com). Aucune information sur ses études trouvée malgré recherches multiples. - Deuxième passage : déclaration HATVP reconsultée directement — au moins deux déclarations successives (2016 et 2021) listent le même poste « commerce de tissus tapis revêtements sols et murs » chez Chaix Décoration, avec un début en 01/2016 pour la première. La gérance est donc retenue comme active depuis 2016 (et non « formellement depuis 06/2021 » comme indiqué au premier passage). La déclaration HATVP révèle aussi une longue liste de mandats non rémunérés dans des organismes économiques et consulaires niçois (UPE, CPME06, SEM Habitat 06, Office du tourisme métropolitain NCA, EPA Éco-Vallée Plaine du Var) et des sièges au conseil d'administration de l'EDHEC Business School, de l'IAE de Nice et de l'ISEM à partir de 06/2021 — ces sièges reflètent vraisemblablement sa fonction de représentant patronal (président CPME) plutôt qu'un diplôme personnel de ces établissements, donc non retenus comme preuve d'un diplôme. Wikitext brut vérifié (infobox : profession = « Commerçant », université vide). Recherche Wikipédia « diplômé Nice » infructueuse. Diplôme reste inconnu."
PA794008,Mme,Cyrielle,Chatelain,1987-07-15,Montbéliard,Écologiste et Social,Isère,2,Collaboratrice de cabinet,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,http://www.wikidata.org/entity/Q112648926,https://fr.wikipedia.org/wiki/Cyrielle_Chatelain,bac+5,sciences politiques | gestion-commerce | lettres-sciences humaines,0,0,0,politique_principalement,haute,"Carrière dominée par des postes en cabinet politique, avec un passage associatif antérieur."
PA840107,M.,Bernard,Chaumeil,1958-09-30,Montmorency,Rassemblement National,Hérault,7,Directeur des relations institutionnelles,Cadres des services administratifs et commerciaux d’entreprise,Cadres et professions intellectuelles supérieures,http://www.wikidata.org/entity/Q139031576,https://fr.wikipedia.org/wiki/Bernard_Chaumeil,inconnu,,1,0,0,prive_uniquement,haute,"Dans un entretien à Hérault Tribune (Echo des Tribunes), Bernard Chaumeil (né en 1958) déclare avoir ""construit une carrière dense dans le secteur privé"", ayant ""occupé des postes à responsabilités au sein de grands groupes comme Bouygues Telecom ou Engie"" (directeur de cabinet puis cadre dirigeant, missions à l'international); il insiste: ""Je n'ai jamais voulu dépendre de la politique. J'ai toujours travaillé à côté dans le privé."" Cela est distinct de ses 20 ans d'engagement politique local bénévole (Plessis-Robinson, RPR de Pasqua, Parti radical de Borloo, UDI) évoqués dans le même article. L'Agathois confirme des ""responsabilités en relations institutionnelles au sein du groupe Engie"". Aucun diplôme mentionné dans les sources consultées. - Deuxième passage : pas de déclaration HATVP disponible dans l'index local (fiche absente — probablement trop récent comme titulaire, ayant accédé au mandat en 2026 comme suppléant d'Aurélien Lopez-Liguori). L'article d'Hérault Tribune (echo-des-tribunes.com) déjà cité au premier passage a été récupéré et vérifié texte par texte (curl + grep sur le contenu réellement présent dans la page, celle-ci étant en Next.js avec le texte embarqué en JSON) : les citations connues sont confirmées mot pour mot (« carrière dense dans le secteur privé », « Directeur de cabinet, puis cadre dirigeant » chez Bouygues Telecom et Engie, allusion au scoutisme et à « son éducation »), mais aucune école, aucun diplôme ni cursus n'est mentionné dans l'article en entier. Wikitext brut vérifié (infobox : université et profession vides). Diplôme reste inconnu."
